Total	Customer	Country	Support Rep
3.96	Richard Cunningham	USA	Margaret Park
5.94	Edward Francis	Canada	Jane Peacock
8.91	Hannah Schneider	Germany	Steve Johnson
21.86	Ladislav Kovács	Hungary	Jane Peacock
1.99	Puja Srivastava	India	Jane Peacock
3.98	Luís Gonçalves	Brazil	Jane Peacock
3.98	François Tremblay	Canada	Jane Peacock
3.96	František Wichterlová	Czech Republic	Margaret Park
5.94	Kara Nielsen	Denmark	Margaret Park
9.91	Jennifer Peterson	Canada	Jane Peacock
15.86	Frank Ralston	USA	Jane Peacock
0.99	Niklas Schröder	Germany	Jane Peacock
1.98	Camille Bernard	France	Margaret Park
1.98	Marc Dubois	France	Steve Johnson
3.96	Isabelle Mercier	France	Jane Peacock
5.94	Lucas Mancini	Italy	Steve Johnson
8.91	Phil Hughes	United Kingdom	Jane Peacock
13.86	François Tremblay	Canada	Jane Peacock
0.99	Jack Smith	USA	Steve Johnson
1.98	Michelle Brooks	USA	Jane Peacock
1.98	Dan Miller	USA	Margaret Park
3.96	Heather Leacock	USA	Margaret Park
5.94	Richard Cunningham	USA	Margaret Park
8.91	Aaron Mitchell	Canada	Margaret Park
13.86	Marc Dubois	France	Steve Johnson
0.99	Mark Taylor	Australia	Margaret Park
1.98	Diego Gutiérrez	Argentina	Margaret Park
1.98	Manoj Pareek	India	Jane Peacock
3.96	Luís Gonçalves	Brazil	Jane Peacock
5.94	František Wichterlová	Czech Republic	Margaret Park
8.91	Alexandre Rocha	Brazil	Steve Johnson
13.86	Dan Miller	USA	Margaret Park
0.99	João Fernandes	Portugal	Margaret Park
1.98	Madalena Sampaio	Portugal	Margaret Park
1.98	Fynn Zimmermann	Germany	Jane Peacock
3.96	Camille Bernard	France	Margaret Park
5.94	Isabelle Mercier	France	Jane Peacock
8.91	Stanisław Wójcik	Poland	Margaret Park
13.86	Manoj Pareek	India	Jane Peacock
0.99	Fernanda Ramos	Brazil	Margaret Park
1.98	Mark Philips	Canada	Steve Johnson
1.98	Frank Harris	USA	Margaret Park
3.96	Michelle Brooks	USA	Jane Peacock
5.94	Heather Leacock	USA	Margaret Park
8.91	Julia Barnett	USA	Steve Johnson
13.86	Fynn Zimmermann	Germany	Jane Peacock
0.99	Joakim Johansson	Sweden	Steve Johnson
1.98	Emma Jones	United Kingdom	Jane Peacock
1.98	Steve Murray	United Kingdom	Steve Johnson
3.96	Diego Gutiérrez	Argentina	Margaret Park
5.94	Luís Gonçalves	Brazil	Jane Peacock
8.91	Astrid Gruber	Austria	Steve Johnson
13.86	Frank Harris	USA	Margaret Park
0.99	Edward Francis	Canada	Jane Peacock
1.98	Martha Silk	Canada	Steve Johnson
1.98	Ellie Sullivan	Canada	Jane Peacock
3.96	Madalena Sampaio	Portugal	Margaret Park
5.94	Camille Bernard	France	Margaret Park
8.91	Ladislav Kovács	Hungary	Jane Peacock
13.86	Steve Murray	United Kingdom	Steve Johnson
0.99	Kara Nielsen	Denmark	Margaret Park
1.98	Eduardo Martins	Brazil	Margaret Park
1.98	Roberto Almeida	Brazil	Jane Peacock
3.96	Mark Philips	Canada	Steve Johnson
5.94	Michelle Brooks	USA	Jane Peacock
8.91	Frank Ralston	USA	Jane Peacock
13.86	Ellie Sullivan	Canada	Jane Peacock
0.99	Lucas Mancini	Italy	Steve Johnson
1.98	Johannes Van der Berg	Netherlands	Steve Johnson
1.98	Enrique Muñoz	Spain	Steve Johnson
3.96	Emma Jones	United Kingdom	Jane Peacock
5.94	Diego Gutiérrez	Argentina	Margaret Park
8.91	François Tremblay	Canada	Jane Peacock
13.86	Roberto Almeida	Brazil	Jane Peacock
0.99	Richard Cunningham	USA	Margaret Park
1.98	Patrick Gray	USA	Margaret Park
1.98	Robert Brown	Canada	Jane Peacock
3.96	Martha Silk	Canada	Steve Johnson
5.94	Madalena Sampaio	Portugal	Margaret Park
8.91	Marc Dubois	France	Steve Johnson
13.86	Enrique Muñoz	Spain	Steve Johnson
0.99	František Wichterlová	Czech Republic	Margaret Park
1.98	Helena Holý	Czech Republic	Steve Johnson
1.98	Daan Peeters	Belgium	Margaret Park
3.96	Eduardo Martins	Brazil	Margaret Park
5.94	Mark Philips	Canada	Steve Johnson
8.91	Dan Miller	USA	Margaret Park
13.86	Robert Brown	Canada	Jane Peacock
0.99	Isabelle Mercier	France	Jane Peacock
1.98	Terhi Hämäläinen	Finland	Jane Peacock
1.98	Hugh O'Reilly	Ireland	Jane Peacock
3.96	Johannes Van der Berg	Netherlands	Steve Johnson
5.94	Emma Jones	United Kingdom	Jane Peacock
8.91	Manoj Pareek	India	Jane Peacock
13.86	Daan Peeters	Belgium	Margaret Park
0.99	Heather Leacock	USA	Margaret Park
1.98	John Gordon	USA	Margaret Park
1.98	Victor Stevens	USA	Steve Johnson
3.96	Patrick Gray	USA	Margaret Park
5.94	Martha Silk	Canada	Steve Johnson
14.91	Fynn Zimmermann	Germany	Jane Peacock
21.86	Hugh O'Reilly	Ireland	Jane Peacock
0.99	Luís Gonçalves	Brazil	Jane Peacock
1.98	Leonie Köhler	Germany	Steve Johnson
1.98	Bjørn Hansen	Norway	Margaret Park
3.96	Helena Holý	Czech Republic	Steve Johnson
5.94	Eduardo Martins	Brazil	Margaret Park
8.91	Frank Harris	USA	Margaret Park
18.86	Victor Stevens	USA	Steve Johnson
1.99	Camille Bernard	France	Margaret Park
2.98	Dominique Lefebvre	France	Margaret Park
3.98	Wyatt Girard	France	Jane Peacock
7.96	Terhi Hämäläinen	Finland	Jane Peacock
8.94	Johannes Van der Berg	Netherlands	Steve Johnson
8.91	Steve Murray	United Kingdom	Steve Johnson
15.86	Bjørn Hansen	Norway	Margaret Park
0.99	Michelle Brooks	USA	Jane Peacock
1.98	Tim Goyer	USA	Jane Peacock
1.98	Kathy Chase	USA	Steve Johnson
3.96	John Gordon	USA	Margaret Park
5.94	Patrick Gray	USA	Margaret Park
8.91	Ellie Sullivan	Canada	Jane Peacock
13.86	Wyatt Girard	France	Jane Peacock
0.99	Diego Gutiérrez	Argentina	Margaret Park
1.98	Luis Rojas	Chile	Steve Johnson
1.98	Puja Srivastava	India	Jane Peacock
3.96	Leonie Köhler	Germany	Steve Johnson
5.94	Helena Holý	Czech Republic	Steve Johnson
8.91	Roberto Almeida	Brazil	Jane Peacock
13.86	Kathy Chase	USA	Steve Johnson
0.99	Madalena Sampaio	Portugal	Margaret Park
1.98	Hannah Schneider	Germany	Steve Johnson
1.98	Niklas Schröder	Germany	Jane Peacock
3.96	Dominique Lefebvre	France	Margaret Park
5.94	Terhi Hämäläinen	Finland	Jane Peacock
8.91	Enrique Muñoz	Spain	Steve Johnson
13.86	Puja Srivastava	India	Jane Peacock
0.99	Mark Philips	Canada	Steve Johnson
1.98	Jennifer Peterson	Canada	Jane Peacock
1.98	Jack Smith	USA	Steve Johnson
3.96	Tim Goyer	USA	Jane Peacock
5.94	John Gordon	USA	Margaret Park
8.91	Robert Brown	Canada	Jane Peacock
13.86	Niklas Schröder	Germany	Jane Peacock
0.99	Emma Jones	United Kingdom	Jane Peacock
1.98	Phil Hughes	United Kingdom	Jane Peacock
1.98	Mark Taylor	Australia	Margaret Park
3.96	Luis Rojas	Chile	Steve Johnson
5.94	Leonie Köhler	Germany	Steve Johnson
8.91	Daan Peeters	Belgium	Margaret Park
13.86	Jack Smith	USA	Steve Johnson
0.99	Martha Silk	Canada	Steve Johnson
1.98	Aaron Mitchell	Canada	Margaret Park
1.98	João Fernandes	Portugal	Margaret Park
3.96	Hannah Schneider	Germany	Steve Johnson
5.94	Dominique Lefebvre	France	Margaret Park
8.91	Hugh O'Reilly	Ireland	Jane Peacock
13.86	Mark Taylor	Australia	Margaret Park
0.99	Eduardo Martins	Brazil	Margaret Park
1.98	Alexandre Rocha	Brazil	Steve Johnson
1.98	Fernanda Ramos	Brazil	Margaret Park
3.96	Jennifer Peterson	Canada	Jane Peacock
5.94	Tim Goyer	USA	Jane Peacock
8.91	Victor Stevens	USA	Steve Johnson
13.86	João Fernandes	Portugal	Margaret Park
0.99	Johannes Van der Berg	Netherlands	Steve Johnson
1.98	Stanisław Wójcik	Poland	Margaret Park
1.98	Joakim Johansson	Sweden	Steve Johnson
3.96	Phil Hughes	United Kingdom	Jane Peacock
5.94	Luis Rojas	Chile	Steve Johnson
8.91	Bjørn Hansen	Norway	Margaret Park
13.86	Fernanda Ramos	Brazil	Margaret Park
0.99	Patrick Gray	USA	Margaret Park
1.98	Julia Barnett	USA	Steve Johnson
1.98	Edward Francis	Canada	Jane Peacock
3.96	Aaron Mitchell	Canada	Margaret Park
5.94	Hannah Schneider	Germany	Steve Johnson
8.91	Wyatt Girard	France	Jane Peacock
13.86	Joakim Johansson	Sweden	Steve Johnson
0.99	Helena Holý	Czech Republic	Steve Johnson
1.98	Astrid Gruber	Austria	Steve Johnson
1.98	Kara Nielsen	Denmark	Margaret Park
3.96	Alexandre Rocha	Brazil	Steve Johnson
5.94	Jennifer Peterson	Canada	Jane Peacock
8.91	Kathy Chase	USA	Steve Johnson
13.86	Edward Francis	Canada	Jane Peacock
0.99	Terhi Hämäläinen	Finland	Jane Peacock
1.98	Ladislav Kovács	Hungary	Jane Peacock
1.98	Lucas Mancini	Italy	Steve Johnson
3.96	Stanisław Wójcik	Poland	Margaret Park
5.94	Phil Hughes	United Kingdom	Jane Peacock
8.91	Puja Srivastava	India	Jane Peacock
13.86	Kara Nielsen	Denmark	Margaret Park
0.99	John Gordon	USA	Margaret Park
1.98	Frank Ralston	USA	Jane Peacock
1.98	Richard Cunningham	USA	Margaret Park
3.96	Julia Barnett	USA	Steve Johnson
5.94	Aaron Mitchell	Canada	Margaret Park
8.91	Niklas Schröder	Germany	Jane Peacock
13.86	Lucas Mancini	Italy	Steve Johnson
0.99	Leonie Köhler	Germany	Steve Johnson
1.98	François Tremblay	Canada	Jane Peacock
1.98	František Wichterlová	Czech Republic	Margaret Park
3.96	Astrid Gruber	Austria	Steve Johnson
5.94	Alexandre Rocha	Brazil	Steve Johnson
10.91	Jack Smith	USA	Steve Johnson
23.86	Richard Cunningham	USA	Margaret Park
0.99	Dominique Lefebvre	France	Margaret Park
1.98	Marc Dubois	France	Steve Johnson
1.98	Isabelle Mercier	France	Jane Peacock
3.96	Ladislav Kovács	Hungary	Jane Peacock
5.94	Stanisław Wójcik	Poland	Margaret Park
8.91	Mark Taylor	Australia	Margaret Park
16.86	František Wichterlová	Czech Republic	Margaret Park
1.99	Tim Goyer	USA	Jane Peacock
3.98	Dan Miller	USA	Margaret Park
3.98	Heather Leacock	USA	Margaret Park
7.96	Frank Ralston	USA	Jane Peacock
11.94	Julia Barnett	USA	Steve Johnson
10.91	João Fernandes	Portugal	Margaret Park
16.86	Isabelle Mercier	France	Jane Peacock
0.99	Luis Rojas	Chile	Steve Johnson
1.98	Manoj Pareek	India	Jane Peacock
1.98	Luís Gonçalves	Brazil	Jane Peacock
3.96	François Tremblay	Canada	Jane Peacock
5.94	Astrid Gruber	Austria	Steve Johnson
8.91	Fernanda Ramos	Brazil	Margaret Park
13.86	Heather Leacock	USA	Margaret Park
0.99	Hannah Schneider	Germany	Steve Johnson
1.98	Fynn Zimmermann	Germany	Jane Peacock
1.98	Camille Bernard	France	Margaret Park
3.96	Marc Dubois	France	Steve Johnson
5.94	Ladislav Kovács	Hungary	Jane Peacock
8.91	Joakim Johansson	Sweden	Steve Johnson
13.86	Luís Gonçalves	Brazil	Jane Peacock
0.99	Jennifer Peterson	Canada	Jane Peacock
1.98	Frank Harris	USA	Margaret Park
1.98	Michelle Brooks	USA	Jane Peacock
3.96	Dan Miller	USA	Margaret Park
5.94	Frank Ralston	USA	Jane Peacock
8.91	Edward Francis	Canada	Jane Peacock
13.86	Camille Bernard	France	Margaret Park
0.99	Phil Hughes	United Kingdom	Jane Peacock
1.98	Steve Murray	United Kingdom	Steve Johnson
1.98	Diego Gutiérrez	Argentina	Margaret Park
3.96	Manoj Pareek	India	Jane Peacock
5.94	François Tremblay	Canada	Jane Peacock
8.91	Kara Nielsen	Denmark	Margaret Park
13.86	Michelle Brooks	USA	Jane Peacock
0.99	Aaron Mitchell	Canada	Margaret Park
1.98	Ellie Sullivan	Canada	Jane Peacock
1.98	Madalena Sampaio	Portugal	Margaret Park
3.96	Fynn Zimmermann	Germany	Jane Peacock
5.94	Marc Dubois	France	Steve Johnson
8.91	Lucas Mancini	Italy	Steve Johnson
13.86	Diego Gutiérrez	Argentina	Margaret Park
0.99	Alexandre Rocha	Brazil	Steve Johnson
1.98	Roberto Almeida	Brazil	Jane Peacock
1.98	Mark Philips	Canada	Steve Johnson
3.96	Frank Harris	USA	Margaret Park
5.94	Dan Miller	USA	Margaret Park
8.91	Richard Cunningham	USA	Margaret Park
13.86	Madalena Sampaio	Portugal	Margaret Park
0.99	Stanisław Wójcik	Poland	Margaret Park
1.98	Enrique Muñoz	Spain	Steve Johnson
1.98	Emma Jones	United Kingdom	Jane Peacock
3.96	Steve Murray	United Kingdom	Steve Johnson
5.94	Manoj Pareek	India	Jane Peacock
8.91	František Wichterlová	Czech Republic	Margaret Park
13.86	Mark Philips	Canada	Steve Johnson
0.99	Julia Barnett	USA	Steve Johnson
1.98	Robert Brown	Canada	Jane Peacock
1.98	Martha Silk	Canada	Steve Johnson
3.96	Ellie Sullivan	Canada	Jane Peacock
5.94	Fynn Zimmermann	Germany	Jane Peacock
8.91	Isabelle Mercier	France	Jane Peacock
13.86	Emma Jones	United Kingdom	Jane Peacock
0.99	Astrid Gruber	Austria	Steve Johnson
1.98	Daan Peeters	Belgium	Margaret Park
1.98	Eduardo Martins	Brazil	Margaret Park
3.96	Roberto Almeida	Brazil	Jane Peacock
5.94	Frank Harris	USA	Margaret Park
8.91	Heather Leacock	USA	Margaret Park
13.86	Martha Silk	Canada	Steve Johnson
0.99	Ladislav Kovács	Hungary	Jane Peacock
1.98	Hugh O'Reilly	Ireland	Jane Peacock
1.98	Johannes Van der Berg	Netherlands	Steve Johnson
3.96	Enrique Muñoz	Spain	Steve Johnson
5.94	Steve Murray	United Kingdom	Steve Johnson
8.91	Luís Gonçalves	Brazil	Jane Peacock
13.86	Eduardo Martins	Brazil	Margaret Park
0.99	Frank Ralston	USA	Jane Peacock
1.98	Victor Stevens	USA	Steve Johnson
1.98	Patrick Gray	USA	Margaret Park
3.96	Robert Brown	Canada	Jane Peacock
5.94	Ellie Sullivan	Canada	Jane Peacock
8.91	Camille Bernard	France	Margaret Park
13.86	Johannes Van der Berg	Netherlands	Steve Johnson
0.99	François Tremblay	Canada	Jane Peacock
1.98	Bjørn Hansen	Norway	Margaret Park
1.98	Helena Holý	Czech Republic	Steve Johnson
3.96	Daan Peeters	Belgium	Margaret Park
5.94	Roberto Almeida	Brazil	Jane Peacock
8.91	Michelle Brooks	USA	Jane Peacock
13.86	Patrick Gray	USA	Margaret Park
0.99	Marc Dubois	France	Steve Johnson
1.98	Wyatt Girard	France	Jane Peacock
1.98	Terhi Hämäläinen	Finland	Jane Peacock
3.96	Hugh O'Reilly	Ireland	Jane Peacock
5.94	Enrique Muñoz	Spain	Steve Johnson
8.91	Diego Gutiérrez	Argentina	Margaret Park
25.86	Helena Holý	Czech Republic	Steve Johnson
0.99	Dan Miller	USA	Margaret Park
1.98	Kathy Chase	USA	Steve Johnson
1.98	John Gordon	USA	Margaret Park
3.96	Victor Stevens	USA	Steve Johnson
5.94	Robert Brown	Canada	Jane Peacock
8.91	Madalena Sampaio	Portugal	Margaret Park
13.86	Terhi Hämäläinen	Finland	Jane Peacock
1.99	Manoj Pareek	India	Jane Peacock
