Support Rep	InvoiceId	CustomerId	InvoiceDate	BillingAddress	BillingCity	BillingState	BillingCountry	BillingPostalCode	Total
Margaret Park	28	34	2009-05-05 00:00:00	Rua da Assunção 53	Lisbon		Portugal		1.98
Steve Johnson	29	36	2009-05-05 00:00:00	Tauentzienstraße 8	Berlin		Germany	10789	1.98
Jane Peacock	30	38	2009-05-06 00:00:00	Barbarossastraße 19	Berlin		Germany	10779	3.96
Jane Peacock	31	42	2009-05-07 00:00:00	9, Place Louis Barthou	Bordeaux		France	33000	5.94
Steve Johnson	32	48	2009-05-10 00:00:00	Lijnbaansgracht 120bg	Amsterdam	VV	Netherlands	1016	8.91
Steve Johnson	33	57	2009-05-15 00:00:00	Calle Lira, 198	Santiago		Chile		13.86
Jane Peacock	34	12	2009-05-23 00:00:00	Praça Pio X, 119	Rio de Janeiro	RJ	Brazil	20040-020	0.99
Margaret Park	35	13	2009-06-05 00:00:00	Qe 7 Bloco G	Brasília	DF	Brazil	71020-677	1.98
Jane Peacock	36	15	2009-06-05 00:00:00	700 W Pender Street	Vancouver	BC	Canada	V6C 1G8	1.98
Steve Johnson	37	17	2009-06-06 00:00:00	1 Microsoft Way	Redmond	WA	USA	98052-8300	3.96
Steve Johnson	38	21	2009-06-07 00:00:00	801 W 4th Street	Reno	NV	USA	89503	5.94
Margaret Park	39	27	2009-06-10 00:00:00	1033 N Park Ave	Tucson	AZ	USA	85719	8.91
Steve Johnson	40	36	2009-06-15 00:00:00	Tauentzienstraße 8	Berlin		Germany	10789	13.86
Steve Johnson	41	50	2009-06-23 00:00:00	C/ San Bernardo 85	Madrid		Spain	28015	0.99
Steve Johnson	42	51	2009-07-06 00:00:00	Celsiusg. 9	Stockholm		Sweden	11230	1.98
Jane Peacock	43	53	2009-07-06 00:00:00	113 Lupus St	London		United Kingdom	SW1V 3EN	1.98
Margaret Park	44	55	2009-07-07 00:00:00	421 Bourke Street	Sidney	NSW	Australia	2010	3.96
Jane Peacock	45	59	2009-07-08 00:00:00	3,Raj Bhavan Road	Bangalore		India	560001	5.94
Steve Johnson	46	6	2009-07-11 00:00:00	Rilská 3174/6	Prague		Czech Republic	14300	8.91
Jane Peacock	47	15	2009-07-16 00:00:00	700 W Pender Street	Vancouver	BC	Canada	V6C 1G8	13.86
Jane Peacock	48	29	2009-07-24 00:00:00	796 Dundas Street West	Toronto	ON	Canada	M6J 1V1	0.99
Jane Peacock	49	30	2009-08-06 00:00:00	230 Elgin Street	Ottawa	ON	Canada	K2P 1L7	1.98
Margaret Park	50	32	2009-08-06 00:00:00	696 Osborne Street	Winnipeg	MB	Canada	R3L 2B9	1.98
Margaret Park	51	34	2009-08-07 00:00:00	Rua da Assunção 53	Lisbon		Portugal		3.96
Jane Peacock	52	38	2009-08-08 00:00:00	Barbarossastraße 19	Berlin		Germany	10779	5.94
Jane Peacock	53	44	2009-08-11 00:00:00	Porthaninkatu 9	Helsinki		Finland	00530	8.91
Jane Peacock	54	53	2009-08-16 00:00:00	113 Lupus St	London		United Kingdom	SW1V 3EN	13.86
Margaret Park	55	8	2009-08-24 00:00:00	Grétrystraat 63	Brussels		Belgium	1000	0.99
Margaret Park	56	9	2009-09-06 00:00:00	Sønder Boulevard 51	Copenhagen		Denmark	1720	1.98
Steve Johnson	57	11	2009-09-06 00:00:00	Av. Paulista, 2022	São Paulo	SP	Brazil	01310-200	1.98
Margaret Park	58	13	2009-09-07 00:00:00	Qe 7 Bloco G	Brasília	DF	Brazil	71020-677	3.96
Steve Johnson	59	17	2009-09-08 00:00:00	1 Microsoft Way	Redmond	WA	USA	98052-8300	5.94
Margaret Park	60	23	2009-09-11 00:00:00	69 Salem Street	Boston	MA	USA	2113	8.91
Margaret Park	61	32	2009-09-16 00:00:00	696 Osborne Street	Winnipeg	MB	Canada	R3L 2B9	13.86
Jane Peacock	62	46	2009-09-24 00:00:00	3 Chatham Street	Dublin	Dublin	Ireland		0.99
Steve Johnson	63	47	2009-10-07 00:00:00	Via Degli Scipioni, 43	Rome	RM	Italy	00192	1.98
Margaret Park	64	49	2009-10-07 00:00:00	Ordynacka 10	Warsaw		Poland	00-358	1.98
Steve Johnson	65	51	2009-10-08 00:00:00	Celsiusg. 9	Stockholm		Sweden	11230	3.96
Margaret Park	66	55	2009-10-09 00:00:00	421 Bourke Street	Sidney	NSW	Australia	2010	5.94
Steve Johnson	67	2	2009-10-12 00:00:00	Theodor-Heuss-Straße 34	Stuttgart		Germany	70174	8.91
Steve Johnson	68	11	2009-10-17 00:00:00	Av. Paulista, 2022	São Paulo	SP	Brazil	01310-200	13.86
Steve Johnson	69	25	2009-10-25 00:00:00	319 N. Frances Street	Madison	WI	USA	53703	0.99
Margaret Park	70	26	2009-11-07 00:00:00	2211 W Berry Street	Fort Worth	TX	USA	76110	1.98
Steve Johnson	71	28	2009-11-07 00:00:00	302 S 700 E	Salt Lake City	UT	USA	84102	1.98
Jane Peacock	72	30	2009-11-08 00:00:00	230 Elgin Street	Ottawa	ON	Canada	K2P 1L7	3.96
Margaret Park	73	34	2009-11-09 00:00:00	Rua da Assunção 53	Lisbon		Portugal		5.94
Margaret Park	74	40	2009-11-12 00:00:00	8, Rue Hanovre	Paris		France	75002	8.91
Margaret Park	75	49	2009-11-17 00:00:00	Ordynacka 10	Warsaw		Poland	00-358	13.86
Margaret Park	76	4	2009-11-25 00:00:00	Ullevålsveien 14	Oslo		Norway	0171	0.99
Margaret Park	77	5	2009-12-08 00:00:00	Klanova 9/506	Prague		Czech Republic	14700	1.98
Steve Johnson	78	7	2009-12-08 00:00:00	Rotenturmstraße 4, 1010 Innere Stadt	Vienne		Austria	1010	1.98
Margaret Park	79	9	2009-12-09 00:00:00	Sønder Boulevard 51	Copenhagen		Denmark	1720	3.96
Margaret Park	80	13	2009-12-10 00:00:00	Qe 7 Bloco G	Brasília	DF	Brazil	71020-677	5.94
Jane Peacock	81	19	2009-12-13 00:00:00	1 Infinite Loop	Cupertino	CA	USA	95014	8.91
Steve Johnson	82	28	2009-12-18 00:00:00	302 S 700 E	Salt Lake City	UT	USA	84102	13.86
Jane Peacock	83	42	2009-12-26 00:00:00	9, Place Louis Barthou	Bordeaux		France	33000	0.99
Jane Peacock	84	43	2010-01-08 00:00:00	68, Rue Jouvence	Dijon		France	21000	1.98
Jane Peacock	85	45	2010-01-08 00:00:00	Erzsébet krt. 58.	Budapest		Hungary	H-1073	1.98
Steve Johnson	86	47	2010-01-09 00:00:00	Via Degli Scipioni, 43	Rome	RM	Italy	00192	3.96
Steve Johnson	87	51	2010-01-10 00:00:00	Celsiusg. 9	Stockholm		Sweden	11230	6.94
Steve Johnson	88	57	2010-01-13 00:00:00	Calle Lira, 198	Santiago		Chile		17.91
Steve Johnson	89	7	2010-01-18 00:00:00	Rotenturmstraße 4, 1010 Innere Stadt	Vienne		Austria	1010	18.86
Steve Johnson	90	21	2010-01-26 00:00:00	801 W 4th Street	Reno	NV	USA	89503	0.99
Margaret Park	91	22	2010-02-08 00:00:00	120 S Orange Ave	Orlando	FL	USA	32801	1.98
Jane Peacock	92	24	2010-02-08 00:00:00	162 E Superior Street	Chicago	IL	USA	60611	1.98
Margaret Park	93	26	2010-02-09 00:00:00	2211 W Berry Street	Fort Worth	TX	USA	76110	3.96
Jane Peacock	94	30	2010-02-10 00:00:00	230 Elgin Street	Ottawa	ON	Canada	K2P 1L7	5.94
Steve Johnson	95	36	2010-02-13 00:00:00	Tauentzienstraße 8	Berlin		Germany	10789	8.91
Jane Peacock	96	45	2010-02-18 00:00:00	Erzsébet krt. 58.	Budapest		Hungary	H-1073	21.86
Jane Peacock	97	59	2010-02-26 00:00:00	3,Raj Bhavan Road	Bangalore		India	560001	1.99
Jane Peacock	98	1	2010-03-11 00:00:00	Av. Brigadeiro Faria Lima, 2170	São José dos Campos	SP	Brazil	12227-000	3.98
Jane Peacock	99	3	2010-03-11 00:00:00	1498 rue Bélanger	Montréal	QC	Canada	H2G 1A7	3.98
Margaret Park	100	5	2010-03-12 00:00:00	Klanova 9/506	Prague		Czech Republic	14700	3.96
Margaret Park	101	9	2010-03-13 00:00:00	Sønder Boulevard 51	Copenhagen		Denmark	1720	5.94
Jane Peacock	102	15	2010-03-16 00:00:00	700 W Pender Street	Vancouver	BC	Canada	V6C 1G8	9.91
Jane Peacock	103	24	2010-03-21 00:00:00	162 E Superior Street	Chicago	IL	USA	60611	15.86
Jane Peacock	104	38	2010-03-29 00:00:00	Barbarossastraße 19	Berlin		Germany	10779	0.99
Margaret Park	105	39	2010-04-11 00:00:00	4, Rue Milton	Paris		France	75009	1.98
Steve Johnson	106	41	2010-04-11 00:00:00	11, Place Bellecour	Lyon		France	69002	1.98
Jane Peacock	107	43	2010-04-12 00:00:00	68, Rue Jouvence	Dijon		France	21000	3.96
Steve Johnson	108	47	2010-04-13 00:00:00	Via Degli Scipioni, 43	Rome	RM	Italy	00192	5.94
Jane Peacock	109	53	2010-04-16 00:00:00	113 Lupus St	London		United Kingdom	SW1V 3EN	8.91
Jane Peacock	110	3	2010-04-21 00:00:00	1498 rue Bélanger	Montréal	QC	Canada	H2G 1A7	13.86
Steve Johnson	111	17	2010-04-29 00:00:00	1 Microsoft Way	Redmond	WA	USA	98052-8300	0.99
Jane Peacock	112	18	2010-05-12 00:00:00	627 Broadway	New York	NY	USA	10012-2612	1.98
Margaret Park	113	20	2010-05-12 00:00:00	541 Del Medio Avenue	Mountain View	CA	USA	94040-111	1.98
Margaret Park	114	22	2010-05-13 00:00:00	120 S Orange Ave	Orlando	FL	USA	32801	3.96
Margaret Park	115	26	2010-05-14 00:00:00	2211 W Berry Street	Fort Worth	TX	USA	76110	5.94
Margaret Park	116	32	2010-05-17 00:00:00	696 Osborne Street	Winnipeg	MB	Canada	R3L 2B9	8.91
Steve Johnson	117	41	2010-05-22 00:00:00	11, Place Bellecour	Lyon		France	69002	13.86
Margaret Park	118	55	2010-05-30 00:00:00	421 Bourke Street	Sidney	NSW	Australia	2010	0.99
Margaret Park	119	56	2010-06-12 00:00:00	307 Macacha Güemes	Buenos Aires		Argentina	1106	1.98
Jane Peacock	120	58	2010-06-12 00:00:00	12,Community Centre	Delhi		India	110017	1.98
Jane Peacock	121	1	2010-06-13 00:00:00	Av. Brigadeiro Faria Lima, 2170	São José dos Campos	SP	Brazil	12227-000	3.96
Margaret Park	122	5	2010-06-14 00:00:00	Klanova 9/506	Prague		Czech Republic	14700	5.94
Steve Johnson	123	11	2010-06-17 00:00:00	Av. Paulista, 2022	São Paulo	SP	Brazil	01310-200	8.91
Margaret Park	124	20	2010-06-22 00:00:00	541 Del Medio Avenue	Mountain View	CA	USA	94040-111	13.86
Margaret Park	125	34	2010-06-30 00:00:00	Rua da Assunção 53	Lisbon		Portugal		0.99
Margaret Park	126	35	2010-07-13 00:00:00	Rua dos Campeões Europeus de Viena, 4350	Porto		Portugal		1.98
Jane Peacock	127	37	2010-07-13 00:00:00	Berger Straße 10	Frankfurt		Germany	60316	1.98
Margaret Park	128	39	2010-07-14 00:00:00	4, Rue Milton	Paris		France	75009	3.96
Jane Peacock	129	43	2010-07-15 00:00:00	68, Rue Jouvence	Dijon		France	21000	5.94
Margaret Park	130	49	2010-07-18 00:00:00	Ordynacka 10	Warsaw		Poland	00-358	8.91
Jane Peacock	131	58	2010-07-23 00:00:00	12,Community Centre	Delhi		India	110017	13.86
Margaret Park	132	13	2010-07-31 00:00:00	Qe 7 Bloco G	Brasília	DF	Brazil	71020-677	0.99
Steve Johnson	133	14	2010-08-13 00:00:00	8210 111 ST NW	Edmonton	AB	Canada	T6G 2C7	1.98
Margaret Park	134	16	2010-08-13 00:00:00	1600 Amphitheatre Parkway	Mountain View	CA	USA	94043-1351	1.98
Jane Peacock	135	18	2010-08-14 00:00:00	627 Broadway	New York	NY	USA	10012-2612	3.96
Margaret Park	136	22	2010-08-15 00:00:00	120 S Orange Ave	Orlando	FL	USA	32801	5.94
Steve Johnson	137	28	2010-08-18 00:00:00	302 S 700 E	Salt Lake City	UT	USA	84102	8.91
Jane Peacock	138	37	2010-08-23 00:00:00	Berger Straße 10	Frankfurt		Germany	60316	13.86
Steve Johnson	139	51	2010-08-31 00:00:00	Celsiusg. 9	Stockholm		Sweden	11230	0.99
Jane Peacock	140	52	2010-09-13 00:00:00	202 Hoxton Street	London		United Kingdom	N1 5LH	1.98
Steve Johnson	141	54	2010-09-13 00:00:00	110 Raeburn Pl	Edinburgh 		United Kingdom	EH4 1HH	1.98
Margaret Park	142	56	2010-09-14 00:00:00	307 Macacha Güemes	Buenos Aires		Argentina	1106	3.96
Jane Peacock	143	1	2010-09-15 00:00:00	Av. Brigadeiro Faria Lima, 2170	São José dos Campos	SP	Brazil	12227-000	5.94
Steve Johnson	144	7	2010-09-18 00:00:00	Rotenturmstraße 4, 1010 Innere Stadt	Vienne		Austria	1010	8.91
Margaret Park	145	16	2010-09-23 00:00:00	1600 Amphitheatre Parkway	Mountain View	CA	USA	94043-1351	13.86
Jane Peacock	146	30	2010-10-01 00:00:00	230 Elgin Street	Ottawa	ON	Canada	K2P 1L7	0.99
Steve Johnson	147	31	2010-10-14 00:00:00	194A Chain Lake Drive	Halifax	NS	Canada	B3S 1C5	1.98
Jane Peacock	148	33	2010-10-14 00:00:00	5112 48 Street	Yellowknife	NT	Canada	X1A 1N6	1.98
Margaret Park	149	35	2010-10-15 00:00:00	Rua dos Campeões Europeus de Viena, 4350	Porto		Portugal		3.96
Margaret Park	150	39	2010-10-16 00:00:00	4, Rue Milton	Paris		France	75009	5.94
Jane Peacock	151	45	2010-10-19 00:00:00	Erzsébet krt. 58.	Budapest		Hungary	H-1073	8.91
Steve Johnson	152	54	2010-10-24 00:00:00	110 Raeburn Pl	Edinburgh 		United Kingdom	EH4 1HH	13.86
Margaret Park	153	9	2010-11-01 00:00:00	Sønder Boulevard 51	Copenhagen		Denmark	1720	0.99
Margaret Park	154	10	2010-11-14 00:00:00	Rua Dr. Falcão Filho, 155	São Paulo	SP	Brazil	01007-010	1.98
Jane Peacock	155	12	2010-11-14 00:00:00	Praça Pio X, 119	Rio de Janeiro	RJ	Brazil	20040-020	1.98
Steve Johnson	156	14	2010-11-15 00:00:00	8210 111 ST NW	Edmonton	AB	Canada	T6G 2C7	3.96
Jane Peacock	157	18	2010-11-16 00:00:00	627 Broadway	New York	NY	USA	10012-2612	5.94
Jane Peacock	158	24	2010-11-19 00:00:00	162 E Superior Street	Chicago	IL	USA	60611	8.91
Jane Peacock	159	33	2010-11-24 00:00:00	5112 48 Street	Yellowknife	NT	Canada	X1A 1N6	13.86
Steve Johnson	160	47	2010-12-02 00:00:00	Via Degli Scipioni, 43	Rome	RM	Italy	00192	0.99
Steve Johnson	161	48	2010-12-15 00:00:00	Lijnbaansgracht 120bg	Amsterdam	VV	Netherlands	1016	1.98
Steve Johnson	162	50	2010-12-15 00:00:00	C/ San Bernardo 85	Madrid		Spain	28015	1.98
Jane Peacock	163	52	2010-12-16 00:00:00	202 Hoxton Street	London		United Kingdom	N1 5LH	3.96
Margaret Park	164	56	2010-12-17 00:00:00	307 Macacha Güemes	Buenos Aires		Argentina	1106	5.94
Jane Peacock	165	3	2010-12-20 00:00:00	1498 rue Bélanger	Montréal	QC	Canada	H2G 1A7	8.91
Jane Peacock	166	12	2010-12-25 00:00:00	Praça Pio X, 119	Rio de Janeiro	RJ	Brazil	20040-020	13.86
Margaret Park	167	26	2011-01-02 00:00:00	2211 W Berry Street	Fort Worth	TX	USA	76110	0.99
Margaret Park	168	27	2011-01-15 00:00:00	1033 N Park Ave	Tucson	AZ	USA	85719	1.98
Jane Peacock	169	29	2011-01-15 00:00:00	796 Dundas Street West	Toronto	ON	Canada	M6J 1V1	1.98
Steve Johnson	170	31	2011-01-16 00:00:00	194A Chain Lake Drive	Halifax	NS	Canada	B3S 1C5	3.96
Margaret Park	171	35	2011-01-17 00:00:00	Rua dos Campeões Europeus de Viena, 4350	Porto		Portugal		5.94
Steve Johnson	172	41	2011-01-20 00:00:00	11, Place Bellecour	Lyon		France	69002	8.91
Steve Johnson	173	50	2011-01-25 00:00:00	C/ San Bernardo 85	Madrid		Spain	28015	13.86
Margaret Park	174	5	2011-02-02 00:00:00	Klanova 9/506	Prague		Czech Republic	14700	0.99
Steve Johnson	175	6	2011-02-15 00:00:00	Rilská 3174/6	Prague		Czech Republic	14300	1.98
Margaret Park	176	8	2011-02-15 00:00:00	Grétrystraat 63	Brussels		Belgium	1000	1.98
Margaret Park	177	10	2011-02-16 00:00:00	Rua Dr. Falcão Filho, 155	São Paulo	SP	Brazil	01007-010	3.96
Steve Johnson	178	14	2011-02-17 00:00:00	8210 111 ST NW	Edmonton	AB	Canada	T6G 2C7	5.94
Margaret Park	179	20	2011-02-20 00:00:00	541 Del Medio Avenue	Mountain View	CA	USA	94040-111	8.91
Jane Peacock	180	29	2011-02-25 00:00:00	796 Dundas Street West	Toronto	ON	Canada	M6J 1V1	13.86
Jane Peacock	181	43	2011-03-05 00:00:00	68, Rue Jouvence	Dijon		France	21000	0.99
Jane Peacock	182	44	2011-03-18 00:00:00	Porthaninkatu 9	Helsinki		Finland	00530	1.98
Jane Peacock	183	46	2011-03-18 00:00:00	3 Chatham Street	Dublin	Dublin	Ireland		1.98
Steve Johnson	184	48	2011-03-19 00:00:00	Lijnbaansgracht 120bg	Amsterdam	VV	Netherlands	1016	3.96
Jane Peacock	185	52	2011-03-20 00:00:00	202 Hoxton Street	London		United Kingdom	N1 5LH	5.94
Jane Peacock	186	58	2011-03-23 00:00:00	12,Community Centre	Delhi		India	110017	8.91
Margaret Park	187	8	2011-03-28 00:00:00	Grétrystraat 63	Brussels		Belgium	1000	13.86
Margaret Park	188	22	2011-04-05 00:00:00	120 S Orange Ave	Orlando	FL	USA	32801	0.99
Margaret Park	189	23	2011-04-18 00:00:00	69 Salem Street	Boston	MA	USA	2113	1.98
Steve Johnson	190	25	2011-04-18 00:00:00	319 N. Frances Street	Madison	WI	USA	53703	1.98
Margaret Park	191	27	2011-04-19 00:00:00	1033 N Park Ave	Tucson	AZ	USA	85719	3.96
Steve Johnson	192	31	2011-04-20 00:00:00	194A Chain Lake Drive	Halifax	NS	Canada	B3S 1C5	5.94
Jane Peacock	193	37	2011-04-23 00:00:00	Berger Straße 10	Frankfurt		Germany	60316	14.91
Jane Peacock	194	46	2011-04-28 00:00:00	3 Chatham Street	Dublin	Dublin	Ireland		21.86
Jane Peacock	195	1	2011-05-06 00:00:00	Av. Brigadeiro Faria Lima, 2170	São José dos Campos	SP	Brazil	12227-000	0.99
Steve Johnson	196	2	2011-05-19 00:00:00	Theodor-Heuss-Straße 34	Stuttgart		Germany	70174	1.98
Margaret Park	197	4	2011-05-19 00:00:00	Ullevålsveien 14	Oslo		Norway	0171	1.98
Steve Johnson	198	6	2011-05-20 00:00:00	Rilská 3174/6	Prague		Czech Republic	14300	3.96
Margaret Park	199	10	2011-05-21 00:00:00	Rua Dr. Falcão Filho, 155	São Paulo	SP	Brazil	01007-010	5.94
Margaret Park	200	16	2011-05-24 00:00:00	1600 Amphitheatre Parkway	Mountain View	CA	USA	94043-1351	8.91
Steve Johnson	201	25	2011-05-29 00:00:00	319 N. Frances Street	Madison	WI	USA	53703	18.86
Margaret Park	202	39	2011-06-06 00:00:00	4, Rue Milton	Paris		France	75009	1.99
Margaret Park	203	40	2011-06-19 00:00:00	8, Rue Hanovre	Paris		France	75002	2.98
Jane Peacock	204	42	2011-06-19 00:00:00	9, Place Louis Barthou	Bordeaux		France	33000	3.98
Jane Peacock	205	44	2011-06-20 00:00:00	Porthaninkatu 9	Helsinki		Finland	00530	7.96
Steve Johnson	206	48	2011-06-21 00:00:00	Lijnbaansgracht 120bg	Amsterdam	VV	Netherlands	1016	8.94
Steve Johnson	207	54	2011-06-24 00:00:00	110 Raeburn Pl	Edinburgh 		United Kingdom	EH4 1HH	8.91
Margaret Park	208	4	2011-06-29 00:00:00	Ullevålsveien 14	Oslo		Norway	0171	15.86
Jane Peacock	209	18	2011-07-07 00:00:00	627 Broadway	New York	NY	USA	10012-2612	0.99
Jane Peacock	210	19	2011-07-20 00:00:00	1 Infinite Loop	Cupertino	CA	USA	95014	1.98
Steve Johnson	211	21	2011-07-20 00:00:00	801 W 4th Street	Reno	NV	USA	89503	1.98
Margaret Park	212	23	2011-07-21 00:00:00	69 Salem Street	Boston	MA	USA	2113	3.96
Margaret Park	213	27	2011-07-22 00:00:00	1033 N Park Ave	Tucson	AZ	USA	85719	5.94
Jane Peacock	214	33	2011-07-25 00:00:00	5112 48 Street	Yellowknife	NT	Canada	X1A 1N6	8.91
Jane Peacock	215	42	2011-07-30 00:00:00	9, Place Louis Barthou	Bordeaux		France	33000	13.86
Margaret Park	216	56	2011-08-07 00:00:00	307 Macacha Güemes	Buenos Aires		Argentina	1106	0.99
Steve Johnson	217	57	2011-08-20 00:00:00	Calle Lira, 198	Santiago		Chile		1.98
Jane Peacock	218	59	2011-08-20 00:00:00	3,Raj Bhavan Road	Bangalore		India	560001	1.98
Steve Johnson	219	2	2011-08-21 00:00:00	Theodor-Heuss-Straße 34	Stuttgart		Germany	70174	3.96
Steve Johnson	220	6	2011-08-22 00:00:00	Rilská 3174/6	Prague		Czech Republic	14300	5.94
Jane Peacock	221	12	2011-08-25 00:00:00	Praça Pio X, 119	Rio de Janeiro	RJ	Brazil	20040-020	8.91
Steve Johnson	222	21	2011-08-30 00:00:00	801 W 4th Street	Reno	NV	USA	89503	13.86
Margaret Park	223	35	2011-09-07 00:00:00	Rua dos Campeões Europeus de Viena, 4350	Porto		Portugal		0.99
Steve Johnson	224	36	2011-09-20 00:00:00	Tauentzienstraße 8	Berlin		Germany	10789	1.98
Jane Peacock	225	38	2011-09-20 00:00:00	Barbarossastraße 19	Berlin		Germany	10779	1.98
Margaret Park	226	40	2011-09-21 00:00:00	8, Rue Hanovre	Paris		France	75002	3.96
Jane Peacock	227	44	2011-09-22 00:00:00	Porthaninkatu 9	Helsinki		Finland	00530	5.94
Steve Johnson	228	50	2011-09-25 00:00:00	C/ San Bernardo 85	Madrid		Spain	28015	8.91
Jane Peacock	229	59	2011-09-30 00:00:00	3,Raj Bhavan Road	Bangalore		India	560001	13.86
Steve Johnson	230	14	2011-10-08 00:00:00	8210 111 ST NW	Edmonton	AB	Canada	T6G 2C7	0.99
Jane Peacock	231	15	2011-10-21 00:00:00	700 W Pender Street	Vancouver	BC	Canada	V6C 1G8	1.98
Steve Johnson	232	17	2011-10-21 00:00:00	1 Microsoft Way	Redmond	WA	USA	98052-8300	1.98
Jane Peacock	233	19	2011-10-22 00:00:00	1 Infinite Loop	Cupertino	CA	USA	95014	3.96
Margaret Park	234	23	2011-10-23 00:00:00	69 Salem Street	Boston	MA	USA	2113	5.94
Jane Peacock	235	29	2011-10-26 00:00:00	796 Dundas Street West	Toronto	ON	Canada	M6J 1V1	8.91
Jane Peacock	236	38	2011-10-31 00:00:00	Barbarossastraße 19	Berlin		Germany	10779	13.86
Jane Peacock	237	52	2011-11-08 00:00:00	202 Hoxton Street	London		United Kingdom	N1 5LH	0.99
Jane Peacock	238	53	2011-11-21 00:00:00	113 Lupus St	London		United Kingdom	SW1V 3EN	1.98
Margaret Park	239	55	2011-11-21 00:00:00	421 Bourke Street	Sidney	NSW	Australia	2010	1.98
Steve Johnson	240	57	2011-11-22 00:00:00	Calle Lira, 198	Santiago		Chile		3.96
Steve Johnson	241	2	2011-11-23 00:00:00	Theodor-Heuss-Straße 34	Stuttgart		Germany	70174	5.94
Margaret Park	242	8	2011-11-26 00:00:00	Grétrystraat 63	Brussels		Belgium	1000	8.91
Steve Johnson	243	17	2011-12-01 00:00:00	1 Microsoft Way	Redmond	WA	USA	98052-8300	13.86
Steve Johnson	244	31	2011-12-09 00:00:00	194A Chain Lake Drive	Halifax	NS	Canada	B3S 1C5	0.99
Margaret Park	245	32	2011-12-22 00:00:00	696 Osborne Street	Winnipeg	MB	Canada	R3L 2B9	1.98
Margaret Park	246	34	2011-12-22 00:00:00	Rua da Assunção 53	Lisbon		Portugal		1.98
Steve Johnson	247	36	2011-12-23 00:00:00	Tauentzienstraße 8	Berlin		Germany	10789	3.96
Margaret Park	248	40	2011-12-24 00:00:00	8, Rue Hanovre	Paris		France	75002	5.94
Jane Peacock	249	46	2011-12-27 00:00:00	3 Chatham Street	Dublin	Dublin	Ireland		8.91
Margaret Park	250	55	2012-01-01 00:00:00	421 Bourke Street	Sidney	NSW	Australia	2010	13.86
Margaret Park	251	10	2012-01-09 00:00:00	Rua Dr. Falcão Filho, 155	São Paulo	SP	Brazil	01007-010	0.99
